iter	RMSE
0	738.6956177
1	734.8555599
2	730.7354781
3	726.0833833
4	721.678638
5	718.1993047
6	714.6746093
7	711.5999321
8	708.9894598
9	705.9984717
10	703.9507753
11	701.8542398
12	698.2732155
13	695.8043249
14	692.685588
15	691.0722821
16	688.3004905
17	686.6728528
18	685.0982026
19	683.0221505
20	681.2102966
21	679.1712706
22	677.5364809
23	675.9426204
24	674.6528992
25	673.0881603
26	672.0970293
27	670.9810649
28	669.6026985
29	668.7552927
30	667.6980021
31	666.6140377
32	665.4032094
33	664.4763882
34	663.4534263
35	662.3104202
36	661.4503761
37	660.6532513
38	659.0442735
39	658.1763808
40	657.3202682
41	656.5534599
42	655.9887942
43	654.9420332
44	654.1801368
45	653.3859015
46	652.7852813
47	652.0769676
48	651.519171
49	650.9559664
50	650.4988608
51	650.0533054
52	649.5397861
53	648.6213724
54	647.9315388
55	647.6082104
56	647.0822761
57	646.5148022
58	646.098332
59	645.6325065
60	645.169943
61	644.5469989
62	644.1175481
63	643.667756
64	643.1607923
65	642.2998954
66	641.7190476
67	641.2760069
68	640.8870333
69	640.590726
70	640.2273615
71	639.8542005
72	639.5306278
73	639.2772007
74	639.0373873
75	638.568187
76	638.1519427
77	637.4254408
78	637.2056794
79	637.0532121
80	636.7049079
81	636.5541997
82	636.1970533
83	635.9669077
84	635.7805717
85	635.5523077
86	635.3435322
87	635.0396387
88	634.644877
89	634.4205975
90	634.1139691
91	633.970954
92	633.7965029
93	633.4946481
94	633.028699
95	632.810844
96	632.6956983
97	632.4849247
98	632.3154431
99	631.9014314
100	631.7540472
101	631.6218336
102	631.5009266
103	631.3372077
104	631.1927735
105	630.6419625
106	630.4327762
107	630.1745617
108	630.0228423
109	629.8342275
110	629.6138862
111	629.2698155
112	629.1405348
113	629.0088933
114	628.7000339
115	628.545693
116	628.2238132
117	628.1887467
118	627.8694652
119	627.6818315
120	627.3905707
121	627.1168463
122	626.8671998
123	626.7146161
124	626.5351843
125	626.1501801
126	625.9189661
127	625.7990146
128	625.4475055
129	625.1268207
130	624.8873877
131	624.7122034
132	624.4359502
133	624.2058993
134	624.0327189
135	623.8076298
136	623.7977332
137	623.7202866
138	623.6457685
139	623.5409989
140	623.2775549
141	623.0228673
142	623.0168941
143	622.8555868
144	622.6674032
145	622.5167267
146	622.4056117
147	622.2472618
148	622.0671276
149	621.9548527
150	621.8324096
151	621.6679124
152	621.5159764
153	621.4278366
154	621.4026616
155	621.1781099
156	621.0813469
157	621.0666404
158	620.9745697
159	620.8590867
160	620.8054329
161	620.6493436
162	620.6263932
163	620.5515669
164	620.2493987
165	620.2165089
166	620.1198418
167	620.0131852
168	619.8809338
169	619.6874585
170	619.4766873
171	619.3625542
172	619.3126455
173	619.1032694
174	619.0076945
175	618.9969964
176	618.9461895
177	618.8542951
178	618.6399806
179	618.3700614
180	618.2075895
181	617.6924728
182	617.4808781
183	617.3489605
184	617.0839754
185	616.9212931
186	616.9075949
187	616.8333659
188	616.6790764
189	616.5125642
190	616.4060465
191	616.3720531
192	616.3522578
193	616.0999623
194	616.0063342
195	615.8453163
196	615.7604659
197	615.6764977
198	615.5423765
199	615.5148866
200	615.4706619
201	615.3494568
202	615.2364676
203	615.0747552
204	614.7920653
205	614.6198223
206	614.4666796
207	614.3209666
208	614.30364
209	614.209212
210	614.180055
211	614.1440835
212	614.0045991
213	613.6806577
214	613.4632611
215	613.3384105
216	613.2112975
217	613.1505086
218	613.1322067
219	613.0759267
220	612.9814176
221	612.8798357
222	612.7874819
223	612.7726374
224	612.0649513
225	611.929831
226	611.9043834
227	611.8869452
228	611.5218242
229	611.3848407
230	611.2459878
231	611.1906195
232	611.1601535
233	611.105703
234	610.9564593
235	610.8355755
236	610.8254452
237	610.7753939
238	610.609364
239	610.4406983
240	610.2918947
241	610.2542536
242	609.6263062
243	609.6022888
244	609.550665
245	608.701999
246	608.5619005
247	608.2784752
248	608.1310783
249	607.9717989
250	607.7212254
251	607.6882374
252	607.6429891
253	607.6293487
254	607.4547476
255	607.1594245
256	607.158027
257	607.075315
258	607.0612928
259	606.9243696
260	606.7769088
261	606.770066
262	606.6300682
263	606.396421
264	606.3035062
265	606.1983901
266	606.1712475
267	606.1628643
268	606.1330887
269	606.0994478
270	605.9462054
271	605.9378003
272	605.8013368
273	605.673451
274	605.5542662
275	605.3870255
276	605.0353821
277	604.9446456
278	604.7670789
279	604.6839021
280	604.6696386
281	604.6642207
282	604.550934
283	604.4997757
284	604.3687084
285	604.2431745
286	604.0012681
287	603.8665489
288	603.7483464
289	603.6620864
290	603.5489105
291	603.4258669
292	603.4202476
293	603.2819098
294	603.2770332
295	603.1396231
296	603.0649471
297	602.9870313
298	602.959549
299	602.8311962
300	602.7239319
301	602.5964303
302	602.2446893
303	602.168513
304	602.0666137
305	601.9393466
306	601.8266679
307	601.8193797
308	601.8084449
309	601.7977496
310	601.6514299
311	601.5229953
312	601.509493
313	601.5048988
314	601.4542849
315	601.4479696
316	601.3332073
317	601.3303792
318	601.3264167
319	601.2289835
320	601.2142459
321	601.1128007
322	601.0181168
323	601.0144732
324	600.9714885
325	600.862672
326	600.7473427
327	600.6804889
328	600.6397682
329	600.6032517
330	600.5304162
331	600.5266869
332	600.4726259
333	600.369507
334	600.0950603
335	599.9845173
336	599.8581438
337	599.6039657
338	599.6003034
339	599.5529027
340	599.4427039
341	599.3231398
342	599.2143853
343	599.1530164
344	599.0975985
345	599.0145588
346	598.9857101
347	598.9493294
348	598.881581
349	598.8386333
350	598.79954
351	598.7643143
352	598.6644389
353	598.402768
354	598.3343132
355	598.3013261
356	598.2572768
357	598.2216839
358	598.1911963
359	598.1629153
360	598.0947136
361	598.0900056
362	598.0166498
363	597.9437411
364	597.6941279
365	597.5673841
366	597.5403237
367	597.5117586
368	597.4846447
369	597.4603892
370	597.4274712
371	597.4019267
372	597.2740198
373	597.2431416
374	597.205616
375	597.1188771
376	597.0946453
377	597.0164794
378	596.9176948
379	596.8679279
380	596.8507717
381	596.8254649
382	596.7817561
383	596.7402122
384	596.6474566
385	596.6383952
386	596.6134217
387	596.5808741
388	596.5382496
389	596.502374
390	596.4941985
391	596.4777349
392	596.3330437
393	596.2181231
394	596.1066721
395	596.0848534
396	596.0518527
397	595.9862826
398	595.9061035
399	595.8774641
400	595.8331082
401	595.718337
402	595.6112603
403	595.5841918
404	595.33139
405	595.3008586
406	595.1931669
407	595.1896223
408	594.9514699
409	594.8489838
410	594.7500431
411	594.5254031
412	594.4239908
413	594.3125746
414	594.2777995
415	594.2528422
416	594.0464681
417	593.9512382
418	593.9185147
419	593.8948616
420	593.8029536
421	593.6868147
422	593.6125363
423	593.480515
424	593.3821442
425	593.2960666
426	593.1398732
427	593.1055702
428	592.996265
429	592.9084732
430	592.8488936
431	592.7663394
432	592.688693
433	592.6453555
434	592.473696
435	592.4236514
436	592.3302179
437	592.2890332
438	592.1943604
439	592.1460833
440	592.0664981
441	592.0204896
442	591.9827623
443	591.9541032
444	591.8248862
445	591.7596724
446	591.7327439
447	591.7073104
448	591.6832873
449	591.6524373
450	591.6065278
451	591.518316
452	591.3976581
453	591.3763833
454	591.1628596
455	591.012852
456	590.9008992
457	590.847422
458	590.763698
459	590.7431871
460	590.6357139
461	590.5206514
462	590.4981431
463	590.397199
464	590.289804
465	590.2253688
466	590.2055148
467	590.169253
468	590.1473282
469	590.0535279
470	590.0034354
471	589.9900392
472	589.8810588
473	589.8469238
474	589.7891094
475	589.7417413
476	589.6653741
477	589.5889277
478	589.5313082
479	589.5161174
480	589.4930175
481	589.322133
482	589.2898006
483	589.2579223
484	589.2003245
485	589.1709732
486	589.1674397
487	589.1101707
488	589.0241063
489	588.8960146
490	588.8831611
491	588.8087765
492	588.7162257
493	588.6768435
494	588.6151895
495	588.5447316
496	588.5305399
