iter	Passed	Remaining
0	162	324576
1	176	176772
2	200	133135
3	212	105857
4	220	88082
5	228	75987
6	236	67444
7	244	60919
8	252	55945
9	260	51872
10	269	48668
11	277	46038
12	285	43711
13	294	41706
14	302	40013
15	310	38469
16	318	37123
17	326	35927
18	334	34857
19	342	33865
20	349	32959
21	357	32172
22	370	31826
23	384	31631
24	396	31308
25	408	30982
26	416	30411
27	424	29920
28	436	29649
29	443	29151
30	450	28628
31	458	28189
32	466	27781
33	474	27446
34	486	27312
35	494	26957
36	502	26640
37	509	26317
38	517	26016
39	525	25729
40	532	25456
41	549	25602
42	564	25689
43	577	25651
44	585	25441
45	593	25212
46	601	25011
47	609	24796
48	617	24605
49	628	24496
50	636	24308
51	645	24194
52	653	24007
53	661	23833
54	669	23685
55	677	23522
56	685	23378
57	693	23229
58	701	23084
59	718	23230
60	733	23303
61	742	23196
62	750	23062
63	759	22982
64	768	22889
65	776	22756
66	784	22632
67	792	22512
68	800	22393
69	807	22277
70	815	22164
71	823	22056
72	830	21928
73	838	21821
74	846	21724
75	854	21625
76	862	21529
77	870	21443
78	879	21378
79	888	21330
80	898	21288
81	912	21348
82	926	21400
83	945	21566
84	964	21727
85	978	21784
86	995	21892
87	1007	21884
88	1017	21839
89	1025	21768
90	1033	21686
91	1041	21605
92	1049	21511
93	1056	21429
94	1065	21358
95	1085	21536
96	1095	21500
97	1108	21517
98	1117	21453
99	1125	21380
100	1133	21312
101	1141	21249
102	1149	21164
103	1157	21095
104	1166	21053
105	1174	20983
106	1182	20917
107	1190	20859
108	1198	20800
109	1207	20743
110	1215	20686
111	1223	20625
112	1231	20566
113	1239	20510
114	1259	20637
115	1269	20610
116	1281	20620
117	1286	20523
118	1300	20560
119	1309	20522
120	1323	20555
121	1332	20510
122	1341	20468
123	1350	20436
124	1363	20454
125	1372	20410
126	1382	20392
127	1391	20353
128	1400	20312
129	1408	20259
130	1416	20210
131	1430	20236
132	1446	20308
133	1455	20265
134	1464	20227
135	1472	20176
136	1477	20095
137	1485	20041
138	1493	19997
139	1501	19946
140	1509	19904
141	1518	19865
142	1525	19810
143	1533	19760
144	1541	19718
145	1549	19680
146	1557	19636
147	1565	19590
148	1573	19545
149	1582	19514
150	1590	19473
151	1598	19438
152	1624	19612
153	1634	19590
154	1642	19547
155	1650	19514
156	1658	19472
157	1666	19427
158	1674	19390
159	1682	19353
160	1689	19293
161	1697	19254
162	1703	19202
163	1711	19165
164	1719	19126
165	1727	19088
166	1736	19054
167	1743	19016
168	1751	18981
169	1759	18944
170	1768	18914
171	1783	18953
172	1790	18913
173	1800	18898
174	1809	18865
175	1814	18808
176	1823	18778
177	1831	18743
178	1839	18710
179	1847	18676
180	1855	18646
181	1863	18615
182	1871	18581
183	1881	18572
184	1892	18564
185	1907	18601
186	1915	18568
187	1923	18543
188	1932	18512
189	1940	18485
190	1953	18497
191	1963	18489
192	1970	18447
193	1978	18420
194	1988	18406
195	1997	18380
196	2005	18351
197	2013	18321
198	2021	18299
199	2028	18254
200	2036	18225
201	2044	18198
202	2053	18174
203	2060	18144
204	2069	18120
205	2077	18094
206	2085	18066
207	2093	18038
208	2100	17999
209	2108	17974
210	2117	17951
211	2125	17923
212	2137	17932
213	2148	17930
214	2156	17906
215	2165	17885
216	2173	17859
217	2181	17833
218	2187	17790
219	2196	17768
220	2204	17741
221	2212	17717
222	2220	17694
223	2228	17668
224	2236	17642
225	2244	17618
226	2252	17594
227	2260	17566
228	2268	17546
229	2276	17522
230	2284	17497
231	2292	17473
232	2300	17447
233	2317	17487
234	2326	17473
235	2339	17486
236	2346	17453
237	2354	17428
238	2362	17405
239	2370	17381
240	2378	17360
241	2386	17336
242	2395	17317
243	2403	17299
244	2412	17281
245	2420	17259
246	2429	17239
247	2437	17216
248	2445	17196
249	2453	17176
250	2462	17156
251	2469	17132
252	2478	17111
253	2493	17136
254	2504	17140
255	2512	17119
256	2520	17091
257	2528	17071
258	2535	17041
259	2543	17019
260	2551	17001
261	2557	16966
262	2568	16966
263	2576	16944
264	2585	16927
265	2593	16907
266	2601	16883
